id_aluno,ano_ref,fase,fase_original,flag_fase_9,idade,idade_original,flag_idade_padronizada,genero_original,genero,ano_ingresso,instituicao_original,instituicao_tipo,instituicao_subtipo,flag_bolsa_parceria,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,matematica,portugues,ingles,flag_sem_avaliacao,fase_nome,delta_ida,delta_ieg,delta_inde,delta_ian,queda_ida,queda_ieg,queda_inde,ips_anterior,ida_anterior,ieg_anterior,perfil_defasagem,delta_ida_futuro,delta_ieg_futuro,delta_defasagem_futuro,risco_defasagem_futuro,tem_futuro
31,2022,6,6,0,17,17.0,0,Menina,Feminino,2019,Rede Decisão,privada,sem_subtipo,0,Topázio,8.843,10.0,9.5,9.4,,8.0,10.0,5.0,Fase 7 (3º EM),-1,9.0,5.7,9.3,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
31,2023,8,FASE 8,0,18,18.0,0,Feminino,Feminino,2019,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,9.4,8.0,9.5,Adequado,,,0.0,0,True
31,2024,8,8E,0,19,19.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
32,2022,6,6,0,16,16.0,0,Menina,Feminino,2018,Rede Decisão,privada,sem_subtipo,0,Ametista,7.37,8.8,5.2,8.8,,6.1,7.944,10.0,Fase 6 (2º EM),0,5.7,3.6,8.9,0,Fase 6,,,,,0,0,0,,,,Adequado,1.8000000000000007,2.999999999999999,0.0,0,True
32,2023,7,FASE 7,0,17,,1,Feminino,Feminino,2018,Privada - Programa de Apadrinhamento,privada,apadrinhamento,1,Agata,6.716666667,0.0,8.2,3.77,7.375,7.9,6.8775,10.0,Fase 7 (3° EM),0,9.0,5.8,9.0,0,Fase 7,1.8000000000000007,2.999999999999999,-0.653333333,0.0,0,0,1,8.8,6.1,5.2,Adequado,,,,,False
33,2022,6,6,0,17,17.0,0,Menina,Feminino,2020,Escola Pública,publica,sem_subtipo,0,Quartzo,4.952,0.0,4.6,7.5,,4.8,6.0,5.0,Fase 7 (3º EM),-1,9.0,1.6,3.7,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,,,False
34,2022,6,6,0,17,17.0,0,Menino,Masculino,2016,Rede Decisão,privada,sem_subtipo,0,Ágata,6.259,9.6,4.8,8.1,,3.8,7.278,5.0,Fase 7 (3º EM),-1,4.7,4.0,2.8,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
34,2023,8,FASE 8,0,18,,1,Masculino,Masculino,2016,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,8.1,3.8,4.8,Adequado,,,,,False
35,2022,6,6,0,17,17.0,0,Menina,Feminino,2019,Rede Decisão,privada,sem_subtipo,0,Topázio,8.965,10.0,9.6,9.4,,8.5,10.0,5.0,Fase 7 (3º EM),-1,9.0,7.1,9.3,0,Fase 6,,,,,0,0,0,,,,Defasagem leve,,,1.0,0,True
35,2023,8,FASE 8,0,18,18.0,0,Feminino,Feminino,2019,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,5.0,0,0,0,9.4,8.5,9.6,Adequado,,,0.0,0,True
35,2024,8,8E,0,19,19.0,0,Feminino,Feminino,2021,Privada *Parcerias com Bolsa 100%,privada,parceria_bolsa,1,,,,0.0,,,,,10.0,Fase 8 (Universitários),0,,,,1,Fase 8,,,,0.0,0,0,0,,,,Adequado,,,,,False
