id_aluno,ano_ref,fase,idade,defasagem,ida,ieg,iaa,ips,ipp,ipv,ian,matematica,portugues,ingles,risco_defasagem_futuro
72,2022,5,17,-2,7.8,7.5,8.3,7.5,,8.667,5.0,7.5,7.8,8.0,1
73,2022,5,17,-2,3.3,3.0,7.1,7.5,,7.278,5.0,4.5,3.0,2.3,1
74,2022,5,16,-1,2.0,3.3,9.6,7.5,,5.833,5.0,6.0,0.0,0.0,1
75,2022,5,16,-1,0.0,3.8,5.4,6.3,,4.625,5.0,0.0,0.0,,1
76,2022,5,15,0,8.7,9.1,10.0,8.1,,9.292,10.0,9.3,8.3,8.4,0
76,2023,7,16,2,,,10.0,2.52,,,10.0,,,,0
77,2022,5,16,-1,0.7,2.7,7.1,5.0,,4.625,5.0,0.3,1.8,0.0,1
78,2022,5,17,-2,7.2,6.6,8.3,5.6,,8.0,5.0,8.7,5.7,7.3,1
78,2023,6,18,-2,6.7,7.7,0.0,6.26,8.28125,8.0025,5.0,8.5,4.8,6.8,0
79,2022,5,16,-1,8.9,6.3,5.4,5.6,,7.292,5.0,9.5,7.7,9.5,1
79,2023,6,17,-1,7.6,6.2,5.8,5.0,7.8125,7.59,5.0,6.0,7.7,9.0,1
80,2022,5,16,-1,7.1,8.3,9.2,5.0,,7.625,5.0,6.5,7.7,7.3,1
80,2023,6,17,-1,6.3,8.4,8.3,6.89,7.96875,7.465,5.0,8.2,5.7,5.0,1
81,2022,5,14,1,6.0,9.2,9.2,5.0,,7.458,10.0,5.5,5.2,7.3,1
81,2023,5,15,0,6.3,8.8,9.6,2.52,7.8125,7.2125,10.0,8.7,4.7,5.5,0
82,2022,5,17,-2,5.5,6.8,8.8,7.5,,6.417,5.0,6.0,5.0,,1
83,2022,5,17,-2,6.8,6.8,7.9,7.5,,5.958,5.0,6.0,7.5,,1
84,2022,5,17,-2,5.8,8.8,7.1,5.0,,6.75,5.0,5.7,6.5,5.2,0
84,2023,6,18,-2,6.0,8.8,0.0,2.52,7.8125,7.6725,5.0,6.8,5.8,5.5,1
85,2022,5,15,0,4.3,7.3,6.7,5.0,,5.833,10.0,5.0,3.5,,1
85,2023,5,16,-1,5.7,8.9,8.8,6.27,5.9375,7.8425,5.0,5.8,3.8,7.5,1
86,2022,5,16,-1,6.7,9.6,7.5,5.6,,8.458,5.0,6.2,7.2,6.9,0
86,2023,7,17,0,,,8.3,6.89,,,10.0,,,,0
87,2022,5,15,0,8.8,9.6,8.3,7.5,,8.5,10.0,8.3,8.0,10.0,0
87,2023,6,16,0,9.3,10.0,7.5,5.63,8.125,8.385,10.0,9.5,8.7,9.7,1
88,2022,5,17,-2,6.5,9.2,7.1,5.6,,9.208,5.0,6.8,6.2,6.4,0
88,2023,8,18,0,,,,,,,10.0,,,,0
89,2022,5,16,-1,5.9,7.8,9.6,7.5,,8.0,5.0,7.5,5.7,4.7,1
89,2023,6,17,-1,5.1,8.1,8.3,5.0,7.34375,7.465,5.0,6.3,2.3,6.7,1
90,2022,5,13,2,8.5,9.7,10.0,9.4,,9.75,10.0,7.7,8.0,9.8,1
90,2023,5,14,1,7.7,9.6,10.0,7.52,8.59375,8.1725,10.0,6.7,6.8,9.5,1
91,2022,5,16,-1,6.6,5.7,9.2,5.6,,7.125,5.0,5.5,5.7,8.5,0
91,2023,6,17,-1,7.4,7.4,10.0,6.89,7.8125,7.4675,5.0,9.5,5.0,7.7,1
92,2022,5,16,-1,7.4,7.1,9.2,5.0,,6.667,5.0,7.8,5.5,8.8,1
92,2023,6,17,-1,6.7,9.4,9.6,5.63,7.1875,7.045,5.0,8.7,4.8,6.7,1
93,2022,5,15,0,8.5,9.7,8.3,8.1,,9.083,10.0,8.8,8.3,8.4,0
93,2023,7,16,1,,,7.9,3.14,,,10.0,,,,0
94,2022,5,15,0,7.7,9.6,8.3,8.1,,9.583,10.0,7.0,6.7,9.5,1
94,2023,5,16,-1,7.2,9.6,7.5,2.52,8.75,7.795,5.0,7.7,4.8,9.0,0
95,2022,5,17,-2,4.8,6.6,8.3,7.5,,6.292,5.0,6.0,8.0,0.5,1
96,2022,5,16,-1,6.7,7.8,9.2,6.9,,8.5,5.0,5.7,6.5,8.0,1
96,2023,6,17,-1,6.4,8.9,9.6,7.52,7.65625,7.84,5.0,6.8,4.8,7.7,1
97,2022,5,15,0,6.9,8.8,7.5,5.0,,6.292,10.0,5.3,6.7,8.8,1
98,2022,5,15,0,8.5,10.0,8.8,9.4,,9.667,10.0,8.4,8.2,8.9,0
98,2023,7,16,2,,,7.9,2.52,,,10.0,,,,1
99,2022,5,16,-1,5.0,6.3,8.8,7.5,,5.833,5.0,5.7,3.4,5.8,1
99,2023,6,17,-1,4.5,8.3,7.9,5.63,7.8125,7.4225,5.0,4.7,4.0,4.8,1
100,2022,4,13,1,7.6,7.8,8.8,5.0,,7.25,10.0,7.0,7.8,8.1,1
101,2022,4,15,-1,7.6,8.3,7.9,7.5,,6.833,5.0,7.2,6.5,9.2,1
102,2022,4,14,0,5.7,7.7,6.7,6.9,,6.0,10.0,4.7,6.8,5.5,1
103,2022,4,13,1,7.3,8.7,7.9,7.5,,7.708,10.0,7.3,7.3,7.3,1
103,2023,5,14,1,7.1,9.2,8.3,5.0,8.125,8.09,10.0,7.3,6.3,7.7,1
104,2022,4,18,-4,3.7,8.7,7.9,7.5,,6.708,2.5,4.8,5.8,0.3,1
104,2023,5,19,-3,2.6,7.7,0.0,2.52,5.625,5.6275,2.5,3.7,1.8,2.3,1
105,2022,4,17,-3,6.7,8.2,7.9,5.6,,7.417,2.5,7.2,6.2,6.8,1
106,2022,4,15,-1,7.4,8.0,9.2,9.4,,8.375,5.0,7.8,7.2,7.2,1
106,2023,5,16,0,7.3,9.1,7.9,5.0,7.03125,7.5075,10.0,6.7,6.8,8.3,1
